step,current_tab,predicted_top1,predicted_top3,prediction_match_top1,prediction_match_top3,prefetched,latency_ms
326,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
327,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
328,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
329,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
330,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
331,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
332,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
333,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
334,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
335,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
336,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
337,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
338,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
339,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
340,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
341,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
342,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
343,tab_16,tab_7,"tab_7,tab_16,tab_24",0,1,1,20.0
344,tab_16,tab_7,"tab_7,tab_16,tab_24",0,1,1,20.0
345,tab_24,tab_7,"tab_7,tab_16,tab_24",0,1,1,20.0
346,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
347,tab_9,tab_16,"tab_16,tab_7,tab_23",0,0,1,20.0
348,tab_7,tab_24,tab_24,0,0,1,20.0
349,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
350,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
351,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
352,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
353,tab_13,tab_7,"tab_7,tab_16,tab_24",0,0,1,20.0
354,tab_5,tab_16,tab_16,0,0,1,20.0
355,tab_0,tab_16,"tab_16,tab_7,tab_23",0,0,1,20.0
356,tab_7,tab_7,"tab_7,tab_23",1,1,1,20.0
357,tab_5,tab_23,"tab_23,tab_16,tab_24",0,0,1,20.0
358,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
359,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
360,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
361,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
362,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
363,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
364,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
365,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
366,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
367,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
368,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
369,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
370,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
371,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
372,tab_23,tab_5,"tab_5,tab_23,tab_24",0,1,1,20.0
373,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
374,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
375,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
376,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
377,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
378,tab_5,tab_24,"tab_24,tab_5,tab_7",0,1,1,20.0
379,tab_16,tab_16,"tab_16,tab_24,tab_5",1,1,1,20.0
380,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
381,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
382,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
383,tab_16,tab_5,"tab_5,tab_23,tab_24",0,0,1,20.0
384,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
385,tab_7,tab_23,"tab_23,tab_16,tab_24",0,0,1,20.0
386,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
387,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
388,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
389,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
390,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
391,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
392,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
393,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
394,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
395,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
396,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
397,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
398,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
399,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
400,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
