step,current_tab,predicted_top1,predicted_top3,prediction_match_top1,prediction_match_top3,prefetched,latency_ms
206,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
207,tab_5,tab_7,"tab_7,tab_24,tab_16",0,0,1,20.0
208,tab_24,tab_16,"tab_16,tab_5,tab_7",0,0,1,20.0
209,tab_5,tab_5,"tab_5,tab_23,tab_16",1,1,1,20.0
210,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
211,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
212,tab_16,tab_23,"tab_23,tab_16,tab_24",0,1,1,20.0
213,tab_7,tab_7,"tab_7,tab_24,tab_23",1,1,1,20.0
214,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
215,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
216,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
217,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
218,tab_16,tab_7,"tab_7,tab_24,tab_16",0,1,1,20.0
219,tab_7,tab_7,"tab_7,tab_23,tab_16",1,1,1,20.0
220,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
221,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
222,tab_16,tab_5,"tab_5,tab_23,tab_24",0,0,1,20.0
223,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
224,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
225,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
226,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
227,tab_5,tab_16,"tab_16,tab_7,tab_23",0,0,1,20.0
228,tab_27,tab_16,"tab_16,tab_7,tab_23",0,0,0,100.0
229,tab_24,tab_5,"tab_5,tab_24,tab_23",0,1,1,20.0
230,tab_5,tab_5,"tab_5,tab_23,tab_16",1,1,1,20.0
231,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
232,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
233,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
234,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
235,tab_24,tab_5,"tab_5,tab_23,tab_24",0,1,1,20.0
236,tab_5,tab_5,"tab_5,tab_23,tab_16",1,1,1,20.0
237,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
238,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
239,tab_5,tab_23,"tab_23,tab_16,tab_24",0,0,1,20.0
240,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
241,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
242,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
